,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
770,2019-06-18,3,0,0,0
771,2019-06-19,3,0,0,0
772,2019-06-20,3,0,0,0
773,2019-06-21,2,0,0,0
774,2019-06-24,2,0,0,0
775,2019-06-25,4,4,6,0
776,2019-06-26,4,0,6,0
777,2019-06-27,5,0,0,0
778,2019-06-28,2,0,20,0
779,2019-06-29,1,0,0,0
780,2019-07-01,3,9,0,0
781,2019-07-02,4,0,0,0
782,2019-07-03,3,178,0,120
783,2019-07-04,4,170,113,432
784,2019-07-05,5,16,5,0
785,2019-07-07,2,0,0,0
786,2019-07-08,2,0,0,0
787,2019-07-09,2,0,0,0
788,2019-07-10,1,216,100,40
789,2019-07-12,4,16,0,0
790,2019-07-16,3,0,0,0
791,2019-07-17,2,0,0,0
792,2019-07-18,8,0,0,0
793,2019-07-19,7,0,0,0
794,2019-07-22,1,0,0,0
795,2019-07-23,5,5,6,0
796,2019-07-25,5,0,0,0
797,2019-07-26,2,0,0,0
798,2019-07-29,6,45,0,0
799,2019-08-01,8,0,0,0
800,2019-08-02,5,0,0,0
801,2019-08-05,9,0,0,0
802,2019-08-06,4,0,0,0
803,2019-08-07,3,0,0,0
804,2019-08-08,8,60,0,0
805,2019-08-09,5,0,0,0
806,2019-08-10,2,0,0,0
807,2019-08-11,1,0,0,0
808,2019-08-12,4,240,75,24
809,2019-08-13,2,0,0,0
810,2019-08-15,3,0,0,0
811,2019-08-16,1,0,0,0
812,2019-08-17,1,0,10,0
813,2019-08-19,1,0,0,0
814,2019-08-20,6,0,0,0
815,2019-08-21,1,0,0,0
816,2019-08-22,9,0,0,0
