,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
294,2013-06-07,1,0,0,0
295,2013-06-10,1,0,0,0
296,2013-06-11,3,4,0,0
297,2013-06-12,4,0,0,0
298,2013-06-13,2,0,0,0
299,2013-06-17,1,0,0,0
300,2013-06-18,4,0,0,0
301,2013-06-19,4,0,0,0
302,2013-06-20,2,0,0,0
303,2013-06-21,5,150,0,0
304,2013-06-22,1,0,0,0
305,2013-06-23,1,0,0,0
306,2013-06-24,2,0,0,0
307,2013-06-25,1,0,0,0
308,2013-06-26,1,0,0,0
309,2013-06-27,2,0,0,0
310,2013-06-28,1,0,0,0
311,2013-07-01,7,0,0,0
312,2013-07-02,2,0,0,0
313,2013-07-03,2,125,0,0
314,2013-07-04,3,24,0,0
315,2013-07-05,3,18,0,0
316,2013-07-08,2,0,0,0
317,2013-07-09,2,0,0,0
318,2013-07-11,2,0,0,0
319,2013-07-12,2,0,0,0
320,2013-07-15,1,0,0,0
321,2013-07-16,1,0,0,0
322,2013-07-17,2,0,0,0
323,2013-07-18,4,0,0,0
324,2013-07-19,1,36,16,0
325,2013-07-22,1,0,0,0
326,2013-07-23,1,0,0,0
327,2013-07-24,3,0,0,0
328,2013-07-26,2,45,0,0
329,2013-07-27,1,0,0,0
330,2013-07-29,2,0,0,0
331,2013-07-30,3,60,0,0
332,2013-07-31,1,0,0,0
333,2013-08-01,1,0,0,0
334,2013-08-02,2,0,0,0
335,2013-08-06,1,0,0,0
336,2013-08-07,2,0,0,0
337,2013-08-09,5,0,20,0
338,2013-08-12,3,0,0,0
339,2013-08-13,2,0,0,0
340,2013-08-14,3,0,0,0
341,2013-08-16,1,48,0,0
342,2013-08-17,1,0,0,0
343,2013-08-19,7,36,0,0
344,2013-08-22,2,0,0,0
345,2013-08-23,4,0,0,0
346,2013-08-26,3,0,0,0
347,2013-08-27,1,0,0,0
348,2013-08-28,3,48,0,0
349,2013-08-29,2,24,2,0
350,2013-08-30,4,2,0,0
351,2013-09-03,4,30,0,0
352,2013-09-04,4,120,0,0
353,2013-09-05,2,0,0,0
354,2013-09-06,2,144,15,0
355,2013-09-09,1,0,0,0
356,2013-09-10,3,0,0,0
357,2013-09-11,2,0,0,0
358,2013-09-12,1,0,0,0
359,2013-09-13,2,0,0,0
360,2013-09-16,2,0,0,0
361,2013-09-17,4,0,0,0
362,2013-09-18,5,0,0,0
363,2013-09-19,2,0,0,0
364,2013-09-20,3,40,0,0
365,2013-09-24,1,0,0,0
366,2013-09-26,2,0,0,0
367,2013-09-27,3,16,0,6
368,2013-10-01,3,160,20,16
369,2013-10-02,4,0,0,0
370,2013-10-03,2,0,0,0
371,2013-10-04,2,0,0,0
372,2013-10-07,4,0,0,0
373,2013-10-08,1,0,0,0
374,2013-10-09,2,0,0,0
375,2013-10-10,1,0,0,0
376,2013-10-11,2,16,0,0
377,2013-10-14,1,0,0,0
378,2013-10-15,1,8,0,0
379,2013-10-16,2,0,0,0
380,2013-10-17,2,0,0,0
381,2013-10-18,6,15,0,0
382,2013-10-21,3,0,0,0
383,2013-10-22,2,0,0,0
384,2013-10-24,2,0,0,0
385,2013-10-25,2,0,0,0
386,2013-10-28,5,0,0,0
387,2013-10-29,2,0,0,0
388,2013-10-30,2,0,0,0
389,2013-10-31,2,0,0,0
390,2013-11-01,1,0,0,0
391,2013-11-02,1,0,0,0
392,2013-11-03,1,0,0,0
393,2013-11-04,2,0,0,0
394,2013-11-05,8,0,0,0
395,2013-11-06,1,0,0,0
396,2013-11-07,3,0,0,0
397,2013-11-08,1,12,0,0
398,2013-11-09,2,0,0,0
399,2013-11-10,1,0,0,0
400,2013-11-11,4,0,0,0
401,2013-11-12,4,0,0,0
402,2013-11-13,2,0,0,0
403,2013-11-14,3,0,0,0
404,2013-11-15,3,150,0,0
405,2013-11-18,1,0,0,0
406,2013-11-19,1,0,0,0
407,2013-11-20,1,0,0,0
408,2013-11-21,2,30,0,0
409,2013-11-22,3,40,0,0
410,2013-11-25,4,0,0,0
411,2013-11-27,2,0,0,0
412,2013-11-28,3,0,0,0
413,2013-11-29,2,200,0,0
414,2013-11-30,1,0,20,0
415,2013-12-01,1,0,0,0
416,2013-12-02,2,12,0,0
417,2013-12-03,5,80,0,0
418,2013-12-04,1,0,0,0
419,2013-12-05,1,0,6,0
420,2013-12-06,3,0,0,0
421,2013-12-09,4,0,0,0
422,2013-12-10,2,0,0,0
423,2013-12-11,4,0,0,0
424,2013-12-12,3,0,0,0
425,2013-12-13,1,0,0,0
426,2013-12-14,1,0,0,0
427,2013-12-15,2,0,0,0
428,2013-12-16,2,72,4,0
429,2013-12-17,3,0,0,0
