,TIME,trade_index,fiscal_index,monetary_index
525,05/11/2013,0,0,0
526,05/11/2014,0,0,0
527,05/11/2015,0,0,0
528,05/11/2016,0,0,0
529,05/11/2018,60,18,0
530,05/11/2019,0,0,0
531,05/11/2020,12,0,0
532,05/11/2021,90,68,30
533,05/11/2022,80,0,48
534,05/12/2012,132,12,33
535,05/12/2013,0,6,0
536,05/12/2014,0,0,0
537,05/12/2015,0,0,0
538,05/12/2016,0,0,0
539,05/12/2017,0,0,0
540,05/12/2018,125,0,0
541,05/12/2019,0,0,0
542,05/12/2021,0,0,0
543,05/12/2022,376,0,96
544,06/01/2012,20,4,4
545,06/01/2014,240,30,60
546,06/01/2015,0,0,0
547,06/01/2016,0,0,0
548,06/01/2017,240,20,20
549,06/01/2018,0,0,0
550,06/01/2020,8,0,0
551,06/01/2021,0,0,0
552,06/01/2022,116,8,0
553,06/01/2023,292,118,216
554,06/02/2012,18,0,0
555,06/02/2013,0,0,0
556,06/02/2015,0,0,0
557,06/02/2016,0,0,0
558,06/02/2017,0,0,0
559,06/02/2018,0,0,0
560,06/02/2019,0,0,0
561,06/02/2020,206,48,20
562,06/02/2021,0,0,0
563,06/02/2023,172,35,123
564,06/03/2012,0,0,0
565,06/03/2014,0,0,0
566,06/03/2015,0,0,0
567,06/03/2016,125,0,0
568,06/03/2017,6,0,0
569,06/03/2018,0,0,0
570,06/03/2020,36,0,0
571,06/03/2021,0,0,0
572,06/03/2022,0,0,0
573,06/03/2023,550,24,40
574,06/04/2012,0,0,0
575,06/04/2014,48,0,0
576,06/04/2015,0,0,0
577,06/04/2016,0,0,0
578,06/04/2018,0,0,0
579,06/04/2019,0,0,0
580,06/04/2020,0,0,0
581,06/04/2021,6,0,0
582,06/04/2022,324,300,216
583,06/04/2023,330,50,50
584,06/05/2013,0,0,0
585,06/05/2014,16,8,0
586,06/05/2016,152,20,0
587,06/05/2017,120,0,0
588,06/05/2018,9,0,0
589,06/05/2019,360,90,120
590,06/05/2020,648,480,576
591,06/05/2021,75,0,0
592,06/05/2022,324,48,68
593,06/05/2023,0,0,0
594,06/06/2012,0,0,0
595,06/06/2013,0,0,0
596,06/06/2014,288,72,36
597,06/06/2016,80,0,0
598,06/06/2017,0,0,0
599,06/06/2018,0,0,0
600,06/06/2019,0,2,0
601,06/06/2020,0,0,0
602,06/06/2022,462,340,228
603,06/06/2023,108,0,0
604,06/07/2012,0,0,0
605,06/07/2015,0,0,0
606,06/07/2017,4,0,0
607,06/07/2018,0,0,0
608,06/07/2019,144,0,0
609,06/07/2020,0,0,0
610,06/07/2021,0,0,0
611,06/07/2022,474,448,418
612,06/08/2013,0,0,0
613,06/08/2014,0,0,0
614,06/08/2015,120,16,0
615,06/08/2019,0,0,0
616,06/08/2020,0,0,0
617,06/08/2021,322,16,16
618,06/08/2022,0,0,0
619,06/09/2012,0,0,0
620,06/09/2013,144,15,0
621,06/09/2014,4,0,0
622,06/09/2015,0,0,0
623,06/09/2016,0,0,0
624,06/09/2017,0,0,0
625,06/09/2018,0,0,0
626,06/09/2019,0,0,0
627,06/09/2021,34,9,0
628,06/09/2022,195,0,0
629,06/10/2014,48,0,0
630,06/10/2015,60,0,0
631,06/10/2016,20,0,0
632,06/10/2018,0,0,0
633,06/10/2019,0,0,0
634,06/10/2020,0,0,0
635,06/10/2021,195,39,27
636,06/10/2022,100,0,0
637,06/11/2013,0,0,0
638,06/11/2014,0,0,0
639,06/11/2015,8,0,0
640,06/11/2016,0,0,0
641,06/11/2017,186,0,0
642,06/11/2018,0,0,0
643,06/11/2019,840,90,75
644,06/11/2020,39,0,3
645,06/11/2021,108,0,0
646,06/11/2022,32,0,0
647,06/12/2012,0,0,0
648,06/12/2013,0,0,0
649,06/12/2014,0,0,0
650,06/12/2015,0,0,0
651,06/12/2016,0,0,0
652,06/12/2017,0,0,0
653,06/12/2018,0,0,0
654,06/12/2019,0,0,0
655,06/12/2020,0,0,0
656,06/12/2021,215,0,0
657,06/12/2022,148,4,0
658,07/01/2012,630,60,50
659,07/01/2013,0,0,0
660,07/01/2014,0,0,0
661,07/01/2015,0,0,0
662,07/01/2016,0,0,0
663,07/01/2017,0,0,0
664,07/01/2019,0,0,0
665,07/01/2020,150,0,3
666,07/01/2021,0,0,0
667,07/01/2022,24,0,0
668,07/01/2023,320,0,64
669,07/02/2012,8,0,0
670,07/02/2013,36,9,0
671,07/02/2014,0,0,0
672,07/02/2015,0,0,0
673,07/02/2016,0,0,0
674,07/02/2017,0,0,0
675,07/02/2020,63,0,0
676,07/02/2022,192,40,36
677,07/02/2023,780,158,390
678,07/03/2012,0,0,0
679,07/03/2013,0,0,0
680,07/03/2016,0,0,0
681,07/03/2017,4,0,0
682,07/03/2018,0,0,0
683,07/03/2019,0,0,0
684,07/03/2020,40,0,0
685,07/03/2021,0,0,0
686,07/03/2022,248,0,0
687,07/03/2023,82,3,48
688,07/04/2014,0,0,0
689,07/04/2015,0,0,0
690,07/04/2016,9,0,0
691,07/04/2017,4,0,0
692,07/04/2018,0,0,0
693,07/04/2019,720,120,0
694,07/04/2020,0,0,0
695,07/04/2021,6,0,0
696,07/04/2022,52,8,12
697,07/04/2023,132,0,0
698,07/05/2010,0,0,0
699,07/05/2013,90,0,18
700,07/05/2015,0,0,0
701,07/05/2018,0,0,0
702,07/05/2019,0,0,0
703,07/05/2020,36,0,0
704,07/05/2021,0,0,0
705,07/05/2022,0,0,0
706,07/05/2023,0,0,0
707,07/06/2012,2,0,0
708,07/06/2013,0,0,0
709,07/06/2015,100,0,0
710,07/06/2016,0,0,0
711,07/06/2017,0,0,0
712,07/06/2018,0,0,0
713,07/06/2019,0,0,0
714,07/06/2020,0,0,0
715,07/06/2021,0,0,0
716,07/06/2022,420,192,50
717,07/06/2023,9,0,0
718,07/07/2014,120,0,16
719,07/07/2015,0,0,0
720,07/07/2016,160,32,0
721,07/07/2017,6,0,0
722,07/07/2018,0,0,0
723,07/07/2020,96,9,27
724,07/07/2021,80,0,0
725,07/07/2022,20,0,0
726,07/08/2012,0,0,0
727,07/08/2013,0,0,0
728,07/08/2014,0,0,0
729,07/08/2015,0,0,0
730,07/08/2016,0,0,20
731,07/08/2017,24,0,0
732,07/08/2018,0,0,0
733,07/08/2019,12,3,0
734,07/08/2020,4,0,0
735,07/08/2021,90,0,0
736,07/08/2022,36,0,0
737,07/09/2014,80,0,16
738,07/09/2015,24,0,3
739,07/09/2016,0,0,0
740,07/09/2017,0,0,0
741,07/09/2018,42,0,3
742,07/09/2019,0,0,0
743,07/09/2020,285,90,144
744,07/09/2021,364,150,144
745,07/09/2022,480,296,216
746,07/10/2013,0,0,0
747,07/10/2014,12,0,0
748,07/10/2015,192,6,6
749,07/10/2016,0,0,0
750,07/10/2017,0,0,0
751,07/10/2019,0,0,0
752,07/10/2020,0,0,0
753,07/10/2021,288,28,24
754,07/10/2022,184,0,0
755,07/11/2012,12,0,0
756,07/11/2013,0,0,0
757,07/11/2014,18,0,0
758,07/11/2016,45,0,18
759,07/11/2017,0,0,0
760,07/11/2018,48,0,0
761,07/11/2019,100,0,0
762,07/11/2020,0,0,0
763,07/11/2021,0,0,0
764,07/11/2022,6,0,0
765,07/12/2012,0,0,0
766,07/12/2014,32,0,0
767,07/12/2015,0,9,0
768,07/12/2016,8,0,0
769,07/12/2017,0,0,0
770,07/12/2018,0,0,0
771,07/12/2019,0,0,0
772,07/12/2020,55,0,16
773,07/12/2021,342,0,0
774,07/12/2022,44,22,36
775,08/01/2011,0,0,0
776,08/01/2013,0,0,0
777,08/01/2014,0,0,0
778,08/01/2015,0,0,0
779,08/01/2016,54,0,0
780,08/01/2017,0,0,0
781,08/01/2018,0,0,0
782,08/01/2019,0,0,0
783,08/01/2020,0,0,0
784,08/01/2021,4,0,0
785,08/01/2022,0,0,0
786,08/01/2023,96,0,0
787,08/02/2012,20,0,6
788,08/02/2014,0,0,0
789,08/02/2015,0,0,0
790,08/02/2016,0,0,0
791,08/02/2017,8,0,0
792,08/02/2018,0,0,0
793,08/02/2020,8,0,0
794,08/02/2021,64,0,0
795,08/02/2022,658,383,288
796,08/02/2023,0,0,4
797,08/03/2012,0,0,0
798,08/03/2013,0,0,0
799,08/03/2014,70,0,0
800,08/03/2015,0,0,0
801,08/03/2017,0,0,0
802,08/03/2018,0,0,0
803,08/03/2019,0,0,0
804,08/03/2020,4,0,0
805,08/03/2021,0,0,0
806,08/03/2022,80,0,27
807,08/03/2023,123,0,0
808,08/04/2013,45,8,0
809,08/04/2014,0,0,0
810,08/04/2015,0,0,0
811,08/04/2016,0,0,0
812,08/04/2019,0,0,0
813,08/04/2020,8,0,0
814,08/04/2021,0,0,0
815,08/04/2022,192,48,60
816,08/04/2023,0,0,0
817,08/05/2013,16,0,0
818,08/05/2014,300,60,0
819,08/05/2015,0,0,0
820,08/05/2016,236,0,0
821,08/05/2017,0,0,0
822,08/05/2018,0,0,0
823,08/05/2019,0,0,0
824,08/05/2020,8,0,0
825,08/05/2021,0,0,0
826,08/05/2023,16,3,0
827,08/06/2014,0,0,0
828,08/06/2015,0,0,0
829,08/06/2016,0,0,0
830,08/06/2017,0,0,0
831,08/06/2018,0,0,0
832,08/06/2020,0,0,0
833,08/06/2021,0,0,0
834,08/06/2022,303,30,30
835,08/06/2023,20,0,0
836,08/07/2013,0,0,0
837,08/07/2014,296,24,72
