,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
374,07/01/2023,2,0,0,0
375,07/02/2020,4,0,40,0
376,07/02/2023,6,0,0,0
377,07/03/2018,2,0,0,0
378,07/03/2019,3,0,0,0
379,07/03/2023,6,9,12,9
380,07/04/2014,10,2,0,0
381,07/04/2015,4,0,0,0
382,07/04/2017,3,0,0,0
383,07/04/2019,2,0,0,0
384,07/04/2020,2,20,12,0
385,07/04/2021,2,0,0,0
386,07/04/2022,2,36,0,0
387,07/04/2023,9,0,0,0
388,07/05/2015,2,150,0,0
389,07/05/2019,2,0,0,0
390,07/05/2020,7,0,0,0
391,07/05/2021,6,0,0,0
392,07/06/2018,3,0,0,0
393,07/06/2019,3,6,0,0
394,07/06/2021,1,0,0,0
395,07/06/2022,2,0,0,0
396,07/06/2023,2,32,60,80
397,07/07/2014,4,2,0,0
398,07/07/2015,3,64,0,0
399,07/07/2019,2,0,0,0
400,07/07/2020,3,216,684,120
401,07/07/2021,6,56,0,0
402,07/07/2022,10,255,496,248
403,07/07/2023,8,0,36,0
404,07/08/2014,4,0,0,0
405,07/08/2015,2,40,48,0
406,07/08/2017,2,0,0,0
407,07/08/2019,3,0,0,0
408,07/08/2020,2,0,0,0
409,07/08/2022,1,0,0,0
410,07/08/2023,4,28,0,0
411,07/09/2018,1,0,0,0
412,07/09/2021,5,275,0,50
413,07/09/2022,2,4,6,4
414,07/10/2018,1,0,0,0
415,07/10/2020,6,0,0,0
416,07/10/2021,4,0,0,0
417,07/10/2022,6,36,60,9
418,07/11/2014,3,0,0,0
419,07/11/2018,4,0,0,0
420,07/11/2020,1,0,0,0
421,07/11/2022,8,0,0,0
422,07/12/2015,1,0,0,0
423,07/12/2018,7,12,0,0
424,07/12/2020,3,12,16,12
425,07/12/2021,7,120,48,32
426,07/12/2022,3,16,4,0
427,08/01/2015,2,0,0,0
428,08/01/2020,1,0,0,0
429,08/01/2021,3,40,0,0
430,08/02/2020,1,0,0,0
431,08/02/2021,2,0,0,0
432,08/02/2022,2,0,0,0
433,08/02/2023,5,0,0,0
434,08/03/2019,1,0,0,0
435,08/03/2021,2,18,0,0
436,08/03/2022,2,0,0,0
437,08/03/2023,2,0,0,0
438,08/04/2014,2,0,0,0
439,08/04/2015,5,8,0,0
440,08/04/2016,7,0,0,0
441,08/04/2019,5,0,0,0
442,08/04/2020,2,0,0,0
443,08/04/2021,1,0,0,0
444,08/04/2022,4,34,12,12
445,08/05/2015,4,0,0,0
446,08/05/2019,4,0,0,0
447,08/05/2020,6,0,0,0
448,08/05/2021,1,0,0,0
449,08/05/2023,6,40,0,0
450,08/06/2015,2,200,72,96
451,08/06/2018,3,120,96,80
452,08/06/2020,2,0,0,0
453,08/06/2021,2,0,0,0
454,08/06/2022,4,45,72,50
455,08/06/2023,6,116,0,0
456,08/07/2019,2,0,0,0
457,08/07/2020,3,78,0,0
458,08/07/2021,3,40,0,0
459,08/07/2022,3,300,144,216
460,08/08/2014,1,0,0,0
461,08/08/2017,1,0,0,0
462,08/08/2019,8,60,0,0
463,08/08/2021,2,0,0,0
464,08/08/2022,1,16,20,0
465,08/08/2023,2,0,0,0
466,08/09/2017,2,8,3,0
467,08/09/2018,1,0,0,0
468,08/09/2019,1,0,0,0
469,08/09/2020,1,0,0,0
470,08/09/2021,4,16,0,0
471,08/09/2022,4,0,0,0
472,08/10/2014,8,0,0,0
473,08/10/2020,1,0,0,0
474,08/10/2021,2,120,216,25
475,08/10/2022,2,0,80,27
476,08/11/2017,7,0,0,0
477,08/11/2018,2,0,0,0
